="",="(1)",="",="",=""
="",="",="",="",=""
="",="mean",="sd",="min",="max"
="eng",="2.718557",=".6185208",="0",="3"
="age",="36.54926",="8.255749",="25",="55"
="female",=".4998331",=".5000015",="0",="1"
="white",=".5539557",=".4970818",="0",="1"
="black",=".0302889",=".1713815",="0",="1"
="asianpi",=".1227306",=".3281288",="0",="1"
="other",=".2400298",=".4271026",="0",="1"
="multi",=".052995",=".2240242",="0",="1"
="hispdum",=".5203673",=".4995865",="0",="1"
="yrssch",="13.13825",="3.460916",="0",="20"
="marriedpresent",=".6038349",=".489101",="0",="1"
="divorced",=".0966646",=".2955014",="0",="1"
="evermarried",=".767479",=".4224406",="0",="1"
="nchild",="1.246333",="1.346166",="0",="9"
="haskid",=".580438",=".4934888",="0",="1"
="singleparent",=".1007803",=".3010386",="0",="1"
="nevermarried_haskid",=".0293582",=".1688089",="0",="1"
="share_bpld_minusself",=".0620286",=".1026399",="0",=".4880442"
="abovemean_bpld2",=".3348322",=".4719335",="0",="1"
="ancestpct_minusself",=".1140583",=".1539941",="0",=".735508"
="abovemean_ancestry2",=".3637854",=".4810897",="0",="1"
="N",="165628",="",="",=""
