
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="eng1",="eng2",="eng3",="eng",="marriedpresent",="divorced",="evermarried",="nchild",="haskid",="singleparent",="nevermarried_haskid",="share_bpld_minusself",="abovemean_bpld2",="ancestpct_minusself",="abovemean_ancestry2"

="tr9",="-0.00610*",="-0.0293*",="-0.0689***",="-0.104***",="0.0112**",="-0.00545**",="0.00745**",="0.0460**",="0.00762",="-0.00219",="0.000251",="0.000747",="0.00159",="0.00185",="0.00228"
="",="(-1.98)",="(-2.37)",="(-5.12)",="(-3.62)",="(2.80)",="(-3.00)",="(2.92)",="(3.23)",="(1.97)",="(-0.81)",="(0.14)",="(1.02)",="(0.23)",="(1.40)",="(0.39)"

="N",="191534",="191534",="191534",="191534",="189944",="189944",="189944",="191534",="191534",="189944",="189944",="159798",="159798",="151493",="151493"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
