
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="share_bpld_minusself",="share_bpld_minusself",="abovemean_bpld2",="abovemean_bpld2",="ancestpct_minusself",="ancestpct_minusself",="abovemean_ancestry2",="abovemean_ancestry2"

="eng",="-0.0117***",="-0.0136*",="-0.0581***",="-0.0376",="-0.0168***",="-0.0327*",="-0.0496***",="-0.0880"
="",="(-6.33)",="(-2.20)",="(-10.52)",="(-0.69)",="(-6.91)",="(-2.52)",="(-7.58)",="(-1.43)"

="N",="80694",="80694",="80694",="80694",="76368",="76368",="76368",="76368"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
