
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="share_bpld_minusself",="share_bpld_minusself",="abovemean_bpld2",="abovemean_bpld2",="ancestpct_minusself",="ancestpct_minusself",="abovemean_ancestry2",="abovemean_ancestry2"

="eng",="-0.00997***",="-0.00710",="-0.0497***",="-0.0152",="-0.0131***",="-0.0177",="-0.0413***",="-0.0218"
="",="(-7.17)",="(-0.84)",="(-7.03)",="(-0.22)",="(-7.77)",="(-1.04)",="(-6.09)",="(-0.35)"

="N",="159798",="159798",="159798",="159798",="151493",="151493",="151493",="151493"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
