
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="share_bpld_minusself",="share_bpld_minusself",="abovemean_bpld2",="abovemean_bpld2",="ancestpct_minusself",="ancestpct_minusself",="abovemean_ancestry2",="abovemean_ancestry2"

="eng",="-0.00822***",="-0.000223",="-0.0410***",="0.00654",="-0.00938***",="-0.00172",="-0.0333***",="0.0557"
="",="(-8.39)",="(-0.02)",="(-4.65)",="(0.07)",="(-8.82)",="(-0.08)",="(-4.37)",="(0.78)"

="N",="79104",="79104",="79104",="79104",="75125",="75125",="75125",="75125"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
