
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="marriedpresent",="divorced",="evermarried",="share_bpld_minusself",="abovemean_bpld2",="ancestpct_minusself",="abovemean_ancestry2"

="eng",="-0.0972*",="0.0536**",="-0.0568",="-0.0137",="-0.0351",="-0.0319",="-0.0318"
="",="(-2.03)",="(2.72)",="(-1.76)",="(-1.11)",="(-0.52)",="(-1.60)",="(-0.51)"

="N",="185776",="185776",="185776",="156216",="156216",="148197",="148197"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
