
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="marriedpresent",="divorced",="evermarried",="share_bpld_minusself",="abovemean_bpld2",="ancestpct_minusself",="abovemean_ancestry2"

="eng",="-0.0822*",="0.0513***",="-0.0432*",="0.000316",="0.0223",="-0.00796",="0.0305"
="",="(-2.55)",="(3.84)",="(-1.98)",="(0.11)",="(0.48)",="(-0.65)",="(0.85)"

="N",="168562",="168562",="168562",="141683",="141683",="134188",="134188"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
