
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="marriedpresent",="divorced",="evermarried",="share_bpld_minusself",="abovemean_bpld2",="ancestpct_minusself",="abovemean_ancestry2"

="eng",="-0.0950*",="0.0515**",="-0.0542",="-0.000123",="0.0316",="-0.00951",="0.0227"
="",="(-2.09)",="(2.62)",="(-1.97)",="(-0.03)",="(0.64)",="(-0.70)",="(0.51)"

="N",="159636",="159636",="159636",="134196",="134196",="127131",="127131"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
