
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="marriedpresent",="divorced",="evermarried",="share_bpld_minusself",="abovemean_bpld2",="ancestpct_minusself",="abovemean_ancestry2"

="eng",="-0.141",="0.0789*",="-0.0940",="-0.0140**",="-0.193*",="-0.0576***",="-0.156*"
="",="(-1.66)",="(2.24)",="(-1.68)",="(-2.71)",="(-2.21)",="(-4.23)",="(-2.41)"

="N",="121561",="121561",="121561",="101934",="101934",="95578",="95578"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
